	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100	sample101	sample102	sample103	sample104	sample105	sample106	sample107	sample108	sample109	sample110	sample111	sample112	sample113	sample114	sample115	sample116	sample117	sample118	sample119	sample120	sample121	sample122	sample123	sample124	sample125	sample126	sample127	sample128	sample129	sample130	sample131	sample132	sample133	sample134	sample135	sample136	sample137	sample138	sample139	sample140	sample141	sample142	sample143	sample144	sample145	sample146	sample147	sample148	sample149	sample150	sample151	sample152	sample153	sample154	sample155	sample156	sample157	sample158	sample159	sample160	sample161	sample162	sample163	sample164	sample165	sample166	sample167	sample168	sample169	sample170	sample171	sample172	sample173	sample174	sample175	sample176	sample177	sample178	sample179	sample180	sample181	sample182	sample183	sample184	sample185	sample186	sample187	sample188	sample189
OTU22	11	7	0	0	0	5	0	12553	0	626	0	4	0	368	11	37	17	10	0	8	0	6	19947	0	14	1420	35619	0	0	0	19	22	0	0	7	0	309	9	8	5	7	10	0	0	0	0	12	0	12	7	6308	22109	8	12	3	24183	6235	6270	7679	0	11	49	3003	28184	0	0	28698	10	26409	1687	11717	9040	1764	11	9	0	22808	80	1652	0	0	0	15	0	0	8	3298	7	0	0	10	11911	0	0	0	7	0	0	5	0	11947	13	13	0	0	17	0	0	402	146	0	0	0	0	15	16859	14	0	20	0	13	461	0	3400	0	0	11877	15128	0	658	0	229	1035	0	0	7145	0	6	0	0	0	0	0	9160	0	0	0	6	0	0	48	17	0	16383	0	0	977	17489	19731	0	0	0	0	0	6	0	14	0	19	0	17424	37	13	33	7	35	0	13	6	7	11	16	0	15	17	9	37	14	42
OTU29	3	8	0	3	6506	4	0	0	4	3988	0	4	0	0	0	4	3	0	0	0	7610	5895	2	9	2	0	8	0	0	0	0	86	0	20401	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1548	2052	0	0	0	0	0	0	18263	3	10497	0	5	975	1158	0	0	0	0	0	2	0	0	1121	0	2	0	11818	4	0	0	3	0	4	19	134	0	6084	0	15	2	8	3	0	12093	3	0	29186	14	0	0	0	0	0	5	5	3	0	0	10631	26	0	0	0	6	0	7875	6	4	3	7700	0	13	4	0	0	0	1544	0	0	0	0	3	5596	0	2	0	0	8862	0	52	0	0	2	0	0	5	2216	0	254	3	0	16	2	12671	0	8	0	5	0	0	0	0	0	0	0	5	2768	0	0	8	0	0	0	0	0	8	0	3	13	0	6	0	2	0	0	0	0	0	19
OTU34	2232	0	23	272	402	3957	4	196	5268	2050	153	2833	13	313	76	0	5089	3882	301	572	1576	13	82	392	12633	7	185	160	112	436	10371	3197	1619	112	142	72	9	1026	607	8251	64	13965	50	0	24	232	893	1541	785	401	0	48	0	5	15	3404	28	14	0	0	0	45974	0	83	48	22	97	6332	37	227	20	14	0	2788	4704	2570	95	0	4615	104	9	3046	5	8471	9	105	0	103	63	6	2139	11	49	0	446	131	598	1558	1645	423	6	61	71	0	1545	73	16	157	862	20	24	129	32	568	0	1560	0	4	138	5	7	10	285	22	116	5	3	7	0	0	6802	4	10	2642	0	0	17	0	7	13	693	0	0	7	5507	6502	81	6975	5	197	83	4	12	3835	34	275	20	82	0	0	1305	14170	39	9	223	1674	988	21	14	21	9	167	27	412	5793	740	1470	2008	31	25	1348	324	451	2323	70	23	17	1366	755
OTU37	0	4	0	2	0	3	4	261	0	0	0	0	0	4	1598	0	0	2139	0	1345	512	0	74	0	0	1139	0	2945	685	0	0	179	0	0	9948	0	617	0	0	0	8	0	0	1184	0	0	0	1356	0	1637	543	2020	0	0	912	1273	0	740	1414	438	0	5	73	1259	3713	0	426	0	808	0	42	158	593	0	1119	2	0	7	1918	489	708	0	1800	5	4316	0	0	0	243	715	0	0	0	347	2227	997	0	0	0	254	94	0	334	1198	4	535	2246	1148	834	267	614	0	927	2	188	0	348	193	0	322	10	1257	275	5	0	207	24	1296	586	997	795	3951	16	0	729	2205	109	0	0	792	7	0	0	691	5450	0	295	4	324	5	3	236	0	47	0	3	797	252	2259	286	3365	0	319	521	0	0	0	1253	0	2	0	0	0	3444	3	0	2	0	2	1584	2	0	0	2	0	1255	6	0	0
OTU41	0	27	0	0	0	0	0	0	0	0	299	0	2	0	0	10	7	0	0	0	6	0	16	6	3	0	7	1205	0	0	2	8	2	363	0	0	4	4	0	2	0	2	0	595	0	2	3	0	2531	11	0	0	0	5	0	0	0	0	0	1237	1072	10	0	0	0	2	0	3	4	0	3	2	39	0	0	0	2	245	521	0	1770	0	2679	4	0	5684	241	8	0	1745	0	0	0	106	0	0	0	0	0	6	4119	0	0	0	2	0	0	216	1766	0	2218	8	4	1977	1102	0	0	3234	0	0	40	53	0	0	0	900	0	1492	73	0	0	0	0	0	0	1903	0	0	3461	6	0	0	0	0	0	0	0	4	5	2108	2	408	0	4	0	5	0	0	3241	0	0	0	0	1169	0	0	548	410	0	0	0	9	0	0	0	0	0	2474	1838	392	0	89	4	0	542	3471	0	0	0
OTU43	0	4	26	1024	156	8	0	1369	2	373	0	167	5	3869	0	2037	13	6	0	0	858	1083	655	6	0	7478	3009	6	8	1559	1205	53	1111	0	713	1182	3539	1280	2	0	828	1423	2128	3	2111	1760	0	0	0	10	3246	0	2	2	633	3100	6232	2944	2289	397	949	960	6747	5207	2293	3853	94	4383	9458	2489	23	5984	4562	397	4	2	2180	1089	523	64	0	3	3	4	177	0	1261	0	868	5	23	3322	1160	0	0	594	0	1242	749	6	3	2380	507	1751	216	490	0	0	489	148	4	0	1188	3	3	66	957	7	12	44	2184	0	462	2157	0	0	1178	0	0	943	0	44	1143	0	1264	0	273	0	15	1681	0	1139	1322	3029	0	0	1230	31	586	0	0	3	815	0	1355	0	4448	1039	0	1217	0	0	0	9	2136	860	70	18	2102	619	162	1460	1798	27	117	2191	1952	3	0	0	2	3105	0	7	75	26	8	1957	176
OTU44	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7143	0	0	0	3	0	0	0	0	0	0	0	0	0	4825	0	0	0	0	0	3890	0	0	0	0	0	0	0	0	6559	0	3250	0	0	0	24	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1427	0	0	0	1528	0	0	3	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	2163	0	0	541	3	0	0	0	0	5403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	9	1281	0	0	0	0	0	0	0	0	0	0	0	0	0	4978	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0
OTU46	8	0	0	0	0	0	0	0	0	76	0	0	0	0	1437	5077	0	3255	0	1230	0	427	136	0	0	101	160	47	0	0	0	1005	3172	0	0	0	40	659	0	79	0	2639	0	9	15	1259	0	3416	0	19	0	1665	0	0	0	1231	75	0	1256	301	0	16	88	1503	71	0	428	0	17	153	0	827	757	0	0	0	0	173	38	0	0	3819	0	14	0	0	161	0	64	940	5831	588	667	757	463	612	152	0	5502	12	54	0	0	18	270	1686	699	1726	407	34	38	0	199	866	97	0	0	0	0	162	0	15	29	0	0	317	37	569	233	0	36	136	320	0	334	702	169	0	55	80	26	12	3477	0	0	0	62	0	0	0	0	0	99	0	0	0	62	303	0	0	90	0	421	0	0	0	0	25	951	0	0	0	0	321	0	0	0	0	6792	0	2968	0	0	0	0	0	11	0	0
OTU48	301	22	0	201	10	0	0	104	39	34	14	0	1800	71	19	79	6001	62	1747	6	11	33	0	2938	0	7	68	55	0	7	4659	28	199	199	81	59	0	2012	0	3225	6	0	29	7	177	98	0	6	361	8	3	107	0	0	141	10	30	126	9	25	57	0	3	35	7	171	205	6576	164	1162	354	0	0	737	357	0	0	33	2115	29	50	609	40	315	997	12	7	6140	36	11	110	17	3206	11	0	0	1018	2925	1648	30	0	259	0	97	58	49	30	13	143	92	14	9678	13	107	10	0	23	16	3457	9	108	7	15	0	61	0	0	4	29	12	47	0	0	293	17	0	19	57	67	10	354	162	10	4	0	24	8	9243	11	83	3554	29	0	0	713	78	117	0	25	16	102	57	0	296	141	6077	2055	66	71	96	60	172	7	91	443	301	104	2818	141	12	0	191	10115	5	330	134	37	7125	1296
OTU52	0	0	147	6	10	0	0	100	0	0	967	0	0	0	0	4388	92	0	0	0	0	0	5	0	488	0	0	0	0	3	0	0	0	40	0	16	5	0	10013	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	4	0	1011	0	0	0	0	0	564	11151	50	47	18	0	13	29	0	6	0	0	0	0	5825	4	0	8	7	0	0	5	0	806	0	740	0	0	0	0	0	0	4	0	0	0	0	0	0	0	82	0	0	0	6023	0	0	0	0	40	6	0	0	10	0	0	0	0	0	0	381	0	0	6316	2	0	13950	0	5	6	0	1383	0	0	0	0	0	909	0	0	421	14	2	3730	0	0	22	0	4095	3	0	5	0	0	12782	0	6	0	0	0	1155	0	4	0	0	0	0	7	7	0	3424	0	3	8	6	0	1457	0	0	0	2523	16152
OTU53	0	21	0	1390	40	27	0	13	70	0	205	350	0	7	21	6	528	0	128	275	9225	196	1381	297	962	117	9193	73	296	643	221	1383	0	241	81	209	20	888	2727	233	5	1344	35	0	1092	1935	13	97	0	0	4	23	0	0	0	106	80	5	12	787	126	1891	684	111	1433	3	324	0	12	608	0	118	2579	34	844	238	0	26	185	2546	48	13	20	0	64	10	475	55	71	0	207	335	696	362	11067	4029	208	21	4554	6	0	108	69	0	14	11	0	107	250	97	284	9	21	0	41	0	11	0	1221	281	8	59	0	178	97	0	9	23	138	293	283	954	0	20	1650	115	76	0	39	761	475	0	336	61	0	0	0	1524	28	8	0	35	28	0	72	5	582	197	0	6	11	0	12192	113	0	53	56	41	17	81	0	5563	243	2991	7921	9652	76	9	4752	0	5156	263	95	10	30	211	0	9	498
OTU63	0	0	0	0	4	0	0	4	0	29	16	0	0	0	447	9	367	0	1219	1504	960	0	10	0	0	5	11	313	1399	0	1072	184	2	58	0	0	12	101	0	0	2574	1990	0	0	0	84	3	0	2	27	0	3769	927	2	44	1592	171	0	794	249	22	10	248	0	0	198	152	1783	0	20	0	20	47	19	467	0	56	4629	495	0	68	253	29	57	0	0	263	2359	2	1084	0	276	203	0	541	649	0	0	0	0	252	1354	576	718	0	489	205	619	298	59	190	0	0	2	0	1404	535	0	486	0	603	0	0	0	76	101	326	446	0	9	0	0	72	5	21	54	807	0	0	6	0	0	0	0	0	5	665	103	2	144	5	0	2	35	173	0	95	793	684	667	0	0	520	1109	1448	2337	5740	4	121	396	1418	0	360	637	327	556	0	0	809	1128	0	732	19	421	0	1119	0	174	402
OTU66	1878	119	46	542	118	0	2	19	152	1281	112	10608	2518	265	0	498	1191	145	2561	106	0	199	0	5862	2414	26	13	9	6	86	618	178	622	112	184	180	13	1477	8	947	232	3	2	11	4	172	0	0	313	0	29	100	0	0	116	0	39	46	22	25	452	3	9	136	39	346	815	541	156	1588	101	0	2	205	979	0	0	71	277	23	50	591	0	721	229	126	120	5893	14	0	0	25	2002	26	43	0	138	244	348	0	0	1108	13	22	62	2	0	0	70	62	7	318	3	580	5	263	62	4	7269	18	650	8	4	7	5	0	0	19	36	29	0	36	0	39	30	4	0	262	110	15	293	91	36	3	0	249	10	287	0	315	0	5	344	2	2576	165	32	0	0	0	0	61	9	48	120	1202	394	11	292	231	86	144	272	32	520	124	96	247	98	0	14	512	3	2	248	13	2222	696	536
OTU70	0	1913	0	0	0	0	0	0	0	0	0	0	17	89	0	16	11	3	4	6	49	0	49	8	0	1005	21	1365	9	0	0	61	0	328	2	0	1579	5	2	3	429	51	78	2346	2	61	0	0	4	298	2200	0	4	5	129	0	0	0	332	2412	2855	22	2075	3	1408	0	0	0	20	6	25	551	835	0	327	0	0	376	377	0	237	0	5	4	0	0	1711	0	0	52	0	11	0	5	0	8	0	0	0	0	62	1355	327	0	4	42	19	0	74	2073	249	7	5	54	403	0	1778	2	0	243	622	501	22	2671	0	702	0	0	88	389	0	12	0	0	141	0	0	0	0	542	0	0	1476	0	0	0	4	0	546	16	0	14	1792	6	7113	4	0	0	296	486	0	0	63	144	39	18361	276	0	3493	504	3	0	1779	336	3	34	0	6	87	0	0	567	135	5	425	634	0	0	0
OTU72	5	0	0	115	6	88	0	289	3	99	764	0	0	0	0	0	0	0	0	0	0	912	14	29	0	8	6	0	9	12	0	27	0	0	0	0	0	0	0	0	27265	132	0	58	0	6	11	15	10	61	0	0	0	0	95	0	0	0	0	13	281	0	235	0	0	198	33	0	0	0	3	0	40	0	131	0	0	29046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	69	0	0	40	5	0	0	0	0	12	0	0	177	0	21	0	0	0	0	0	12	8	0	0	0	4	8	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	9	0	5	0	0	0	301	0	0	0	0	226	0	0	0	0	0	0	67	0	0	0	0	0	8	275	133	3	0	0	0	0	5	444	38	16	0	0	0	11	1339	0	0	4	0	0	0	0
OTU73	16	218	0	0	0	0	21351	6	0	0	17083	3	0	0	825	25	0	268	138	0	0	0	0	0	1329	0	7335	3	0	7	0	0	0	45	2	0	0	0	0	0	0	1153	0	0	552	8	0	0	0	6075	0	8	45	35	2	0	4	0	0	0	0	0	6	89	0	0	228	85	14	8	0	0	4	801	15	689	0	0	10	4	0	22	0	301	50	0	0	9	0	0	5007	0	0	0	0	2	0	0	4459	0	217	0	2	0	0	0	0	8	32	0	6	0	5	0	0	0	0	0	0	5	0	0	217	50	49	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	1677	0	0	1315	5	0	0	133	0	0	0	6289	2	0	0	0	6	18	44	0	54	0	124	25	432	0	27	0	4	10	0	0	10	15	0	0	26	0	0	29474	108	3	353	42	77
OTU77	0	0	0	0	0	0	0	128	0	0	0	0	0	0	1697	0	0	0	0	378	0	55	471	6668	0	158	113	458	0	0	0	1202	1105	0	62	363	555	0	0	0	0	0	837	59	0	0	0	628	0	14	408	477	0	0	0	665	785	302	108	0	57	0	415	1417	0	0	1051	0	183	151	0	1396	822	0	137	0	0	37	524	351	84	373	0	0	0	0	0	0	560	487	0	131	0	214	340	220	0	0	0	409	374	0	31	0	0	308	0	0	83	349	202	0	0	829	266	0	173	0	0	510	440	61	40	0	0	166	90	174	124	26	0	133	88	0	544	54	0	0	0	554	528	525	1046	90	0	0	142	0	136	173	516	0	0	19	0	0	59	100	33	80	0	0	0	0	0	0	0	0	0	0	0	39	389	0	1299	869	0	0	0	65	165	61	0	0	0	0	0	0	17
OTU79	662	67	0	10	2	0	0	0	0	0	13	0	0	0	0	470	3	0	0	0	2	106	46	5	0	153	25	497	26	0	6	0	0	0	0	119	620	1007	0	5	7	0	376	182	76	109	9	368	4	18	436	0	0	4	245	4	360	0	221	127	6	5	188	1791	74	0	0	0	0	0	6	1531	256	0	0	0	2	23	296	544	146	0	0	0	0	0	516	2	0	5	0	0	0	0	0	0	0	0	369	0	32	559	62	0	0	1091	0	0	47	119	144	0	0	1164	285	0	0	6	0	849	14	145	9	89	11	92	0	103	227	210	0	19	0	0	907	0	0	0	2	804	0	47	694	42	0	0	0	0	393	580	241	7	512	0	824	835	264	59	144	42	2	0	0	201	228	43	0	0	109	76	2	0	194	0	0	104	31	0	0	0	0	56	3	0	0	751	0	0	0
OTU89	668	17	0	238	0	0	0	245	68	0	85	0	62	0	274	337	5	404	0	1178	0	1024	180	243	0	286	385	1059	892	302	0	960	945	78	461	176	157	417	0	0	7	3	594	98	543	1169	0	755	0	96	27	622	0	0	144	28	999	726	354	550	18	0	405	653	369	772	595	0	45	525	808	496	108	0	83	0	0	17	431	308	70	3	778	0	118	14	275	0	194	296	1467	324	58	6	21	441	0	0	4	754	348	246	519	269	485	369	601	0	340	102	121	0	372	803	125	2	147	88	0	147	322	26	101	284	1404	112	118	419	391	860	229	156	46	0	445	186	197	64	50	243	2516	30	791	59	0	0	184	19	153	721	496	708	751	24	787	276	538	494	234	365	118	0	71	414	0	129	615	108	121	443	331	138	154	407	0	395	444	0	440	395	2923	761	9	0	555	1054	0	0	0
